Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
"94194102","ZCTA5 94102","ACSSF","us","860","00","0042286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94102",,,,,,,,,,,"86000US94102","ZCTA5 94102",,,,55888
"94194103","ZCTA5 94103","ACSSF","us","860","00","0042287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94103",,,,,,,,,,,"86000US94103","ZCTA5 94103",,,,93143
"94194104","ZCTA5 94104","ACSSF","us","860","00","0042288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94104",,,,,,,,,,,"86000US94104","ZCTA5 94104",,,,42591
"94194105","ZCTA5 94105","ACSSF","us","860","00","0042289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94105",,,,,,,,,,,"86000US94105","ZCTA5 94105",,,,244662
"94194107","ZCTA5 94107","ACSSF","us","860","00","0042290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94107",,,,,,,,,,,"86000US94107","ZCTA5 94107",,,,164289
"94194108","ZCTA5 94108","ACSSF","us","860","00","0042291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94108",,,,,,,,,,,"86000US94108","ZCTA5 94108",,,,65392
"94194109","ZCTA5 94109","ACSSF","us","860","00","0042292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94109",,,,,,,,,,,"86000US94109","ZCTA5 94109",,,,104476
"94194110","ZCTA5 94110","ACSSF","us","860","00","0042293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94110",,,,,,,,,,,"86000US94110","ZCTA5 94110",,,,143938
"94194111","ZCTA5 94111","ACSSF","us","860","00","0042294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94111",,,,,,,,,,,"86000US94111","ZCTA5 94111",,,,135735
"94194112","ZCTA5 94112","ACSSF","us","860","00","0042295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","94112",,,,,,,,,,,"86000US94112","ZCTA5 94112",,,,112795
